,name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Average Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Litter Size,Predators,Type,Distinctive Feature,Temperament,Training,Wingspan,Incubation Period,Age Of Fledgling,Average Clutch Size,Main Prey,Age Of Independence,Average Spawn Size,Nesting Location,Age of Molting,Favorite Food,Origin,Optimum pH Level,Migratory,Special Features,Optimum PH Level
541,Eland,,Calf,Herd,Both females and males have horns.,"136,000",Overhunting and habitat destruction,Horns and dark markings on body.,"Common eland, giant eland.",274 days,"Grasslands, woodlands, mountains, and savannas.",Herbivore,,,Eland,1,Africa,,,1-2 calves,"Lions, African wild dogs, spotted hyenas, cheetahs.",Mammal,,,,,,,,,,,,,,,,,,
542,Elasmosaurus,,,,Elasmosaurus is an extinct reptile species.,,,,,,,Carnivore,,,,,,,,,,,Long neck; triangular head; fang-like front teeth.,,,,,,,,,,,,Fish and cephalopods,,,,,
543,Electric Catfish,"Fish, invertebrates, and eggs",,Solitary,The electric catfish can discharge an electric shock up to 450 volts,Unknown,None,The three pairs of barbells on the face,None,,African rivers and lakes,Carnivore,,,Electric Catfish,21,,,,,Larger fish,Ray-finned fish,,,,,,,,,,,,,,,7.0 – 8.0,,,
544,Electric Eel,"Fish, insects, small vertebrates, crustaceans",,,"Despite its powerful shock, electric eels have terrible vision.",Unknown,Humans,Slimy mucus with three organs to generate current.,"Arimna (Venezuela), “numb eel” (Europe)",Unknown,Murky water,Carnivore,,,Electric eel,3,,,,,None,Fish,,,,,,,,,,,,,,,,,,
545,Elegant Tern,"Small fish, crustaceans",,,Have a lifespan of 20 years or more,"51,000-90,000",Loss of food source,Black cap of feathers,Tern,,"Lagoons, rocky coastal areas",Carnivore,,,Tern,,"North America, South America",,,One to two eggs,"Foxes, dogs",Bird,,,,43 inches,,,,,,,Bare ground,,,,,,,
546,Elephant,,,,Spends around 22 hours a day eating!,,,,,,Rainforest and flood plains,Herbivore,1,Herd,,,,Spends around 22 hours a day eating!,,,,Mammal,Large body size and long trunk,,,,,,,"Grass, Fruit, Roots",,,,,Grass,,,,,
547,Elephant Seal,,,,,,,,,,Warm coastal waters close to land,Carnivore,1,Herd,,,,The largest species of seal in the world!,,,"Human, Sharks, Killer Whales",Mammal,Long trunk-like nose and large body,,,,,,,"Fish, Squid, Octopus",,,,,Fish,,,,,
548,Elephant Shrew,,,,,,,,,,"Forest, woodland and grassland",Omnivore,2,Solitary,,,,Found exclusively on the African continent!,,,"Snakes, Lizards, Birds of Prey",Mammal,Long nose and long back legs,,,,,,,"Insects, Worms, Spiders",,,,,Insects,,,,,
549,Elk,Baby ground-dwelling birds,Calf,Herd,Adult males can jump eight feet vertically,Unknown,"Diseases, parasites",Large male antlers and bugling sound,"Wapiti, red deer",240-262 days,"Mountain meadows, forests, forest edges",Omnivore,,,"Elk, wapiti",14,"North America, Central Asia, East Asia",,Herd or solitary,1,,Cervid,,,,,,,,,,,,,,,,,,
550,Emerald Tree Monitor,"Insects, invertebrates, rodents",hatchling,Social,They lay their eggs in termite nests!,,"Poaching, habitat loss","long, prehensile tail",Green tree monitor,165 days,Tropical rainforests,Carnivore,,,emerald tree monitor,8,Indonesia,,lounge,three to seven,,reptile,,,,,,,,,,,,,,,,,,
551,Emperor Penguin,"Fish, Krill, Squid",Chick,Colony,The world's largest species of penguin!,"200,000 breeding pairs",Global warming,Bright yellow feathers on neck and ears,,,Compact sea-ice and ocean,Carnivore,,Diurnal,Emperor Penguin,1,Antarctica,The world's largest species of penguin!,Bird,,"Southern Giant Petrol, Leopard Seal, Killer Whale",,,,,76cm - 89cm (30in - 35in),60 - 70 days,5 - 6 months,1,,,,,,,,,,,
552,Emperor Tamarin,,,,,,,,,,Lowland tropical forest,Omnivore,2,Troop,,,,Has an elegant white moustache!,,,"Hawks, Snakes, Wild Cats",Mammal,"Small body size and long, thin tail",,,,,,,"Fruit, Insects, Rodents",,,,,Fruit,,,,,
553,Emu,,,,,,,,,,Open grasslands with bushes close to water,Omnivore,,Flock,,,,The largest bird in Australia!,,,"Human, Wild dogs, Birds of prey",Bird,Enormous body size and large eyes,,,,,,11,"Fruit, Seeds, Insects, Flowers",,,,,Fruit,,,,,
554,English Bulldog,,,,Bulldogs were originally bred to “pin” bulls.,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,English Cocker Spaniel,,,,,,,,,,,Omnivore,,,English Cocker Spaniel,,,Intelligent yet stubborn by nature!,Gun Dog,,,,,,,,,,,,,,,,,,,,,
556,English Cream Golden Retriever,,,,"Although their coats can get incredibly light in color, golden retrievers never have purely white coats.",,,,,,,Omnivore,,,,,,,,,,,,Intelligent and obedient,,,,,,,,,,,,,,,,
557,English Foxhound,,,,"English Foxhounds were bred to work and live in a pack. Because of this, this breed is happiest when they are around other dogs.",,,,,,,Omnivore,,,,,,,,,,,,"Friendly, independent, affectionate",,,,,,,,,,,,,,,,
558,English Pointer,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,English Setter,,,,English Setters were first bred between 400 and 500 years ago.,,,,,,,Omnivore,,,,,,,,,,,,"Friendly, affectionate, and gentle",,,,,,,,,,,,,,,,
560,English Shepherd,,,,,,,,,,,Omnivore,,,English Shepherd,,,Highly intelligent and independent!,Herd,,,,,"Intelligent, shy and devoted",,,,,,,,,,,,,,,,
561,English Springer Spaniel,,,,,,,,,,,Omnivore,,,English Springer Spaniel,,,Friendly and eager to please!,Gun Dog,,,,,,,,,,,,,,,,,,,,,
562,Entlebucher Mountain Dog,,,,These dogs are originally from Switzerland and were bred for their diligence in herding cattle. They get their name from herders in the Swiss Alps.,,,,,,,Omnivore,,,Entlebucher Mountain Dog,,,Native to parts of the Swiss Alps!,Sennenhund,,,,,"Intelligent, affectionate, stubborn",,,,,,,,,,,,,,,,
563,Epagneul Pont Audemer,,,,,,,,,,,Omnivore,,,Epagneul Pont-Audemer,,,"Hard-working, gentle and affectionate!",Gun Dog,,,,,,,,,,,,,,,,,,,,,
564,Equatorial Spitting Cobra,"Rodents, frogs, lizards, other snakes, small mammals.",Hatchlings or snakelets,,Its hood is actually made of ribs.,"Unknown, but widespread and stable",,A hood that it can widen to make itself look bigger to predators.,"Black spitting cobra, golden spitting cobra, Malayan spitting cobra, Palawan spitting cobra, and Sumatran spitting cobra",,"1,500 meters above sea level in tropical forests and in urban areas such as gardens and parks",Carnivore,,Diurnal,Equatorial spitting cobra,,,,,,,,Depressed head and slender neck,,,,,,,,,,,,,,,,,
565,Ermine,,Kits,Solitary,A very bold and ferocious predator!,Unknown,Habitat loss,Zig-zagging movement,Stoat or short-tailed weasel,,Woodlands and forests,Carnivore,,,Ermine,,"Europe, Asia, and North America",,Mammals,Four to 18,"Badgers, foxes, coyotes, eagles, owls, and weasels",,,,,,,,,,,,,,"Rodents, shrews, rabbits, frogs, insects, birds, and eggs",,,,,
566,Escolar,"Other fish, squid, cuttlefish, crustaceans",,Solitary,"Its system can’t metabolize wax esters, which can lead to unpleasantness for diners.",unknown,Being caught as by-catch by tuna fisheries,Sideways keel on the tail,"White tuna, butterfish, ex-lax fish, skolier, black oilfish, tuna minyak, snake mackerel, waloo",,Temperate and tropical oceans save the northern Indian Ocean,Carnivore,,,Escolar,1,,,,,"Humans, yellowfin tuna",Fish,,,,,,,,,,,,,,,6.0-8.0,,,
567,Eskimo Dog,,,,,,,,,,,Omnivore,,,Eskimo Dog,,,Takes pure delight in cold weather!,North,,,,,,,,,,,,,,,,,,,,,
568,Eskipoo,,,,"Eskipoos are called pookimos by the American Canine Hybrid Club, Designer Dogs Kennel Club, and Designer Breed Registry.",,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Estrela Mountain Dog,,,,,,,,,,,Omnivore,,,Estrela Mountain Dog,,,Very protective and stubborn!,Guard,,,,,,,,,,,,,,,,,,,,,
570,Eurasian Beaver,,kit,Social,Eats 20% of its weight daily!,"More than 200,000","Habitat loss, predators","large, flat tail",,107 days,"Ponds, lakes",Herbivore,,,beaver,,"Europe, Asia, Scandinavia",,,three to six,"Wolves, foxes, lynxes, wolverines",rodent,,,,,,,,,,,,,,,,,,
571,Eurasian Jay,"Fruits, grains, nuts, snails, slugs, worms, insects, and birds",,,The Eurasian jay has the ability to mimic other sounds,30-66 million mature individuals,Habitat loss,The bright blue wing feathers,Common jay,,Mixed forests and grasslands,Omnivore,,,Eurasian jay,1,Eurasia and North Africa,,,,"Cats, martens, owls, crows, eagles, and others",Bird,,,,52-58m (20-23in),18 days,,,,,,Trees and bushes,20-23 days,,,,,,
572,Eurasian Lynx,"Deer, elk, hare, rabbits, foxes, birds, and rodents",Kittens,Solitary,"Eurasian lynxes can survive extreme weather up to elevations of 18,000 feet",,Habitat loss and poaching,"The thick fur, bobbed tail, and ear tufts",Northern lynx,70 days,Forests and mountains,Carnivore,,,Eurasian Lynx,1,Eurasia,,,one to five kittens,,mammal,,,,,,,,,,,,,,,,,,
573,Eurasian Nuthatch,"Insects, nuts",,,Its song has been compared to a toy horn.,"10,000,000 - 500,000,000",Habitat loss,Orange breast,Wallcreeper,,"Woodlands, old trees",Omnivore,,,Eurasian nuthatch,,"Asia, Europe",,,6-9,"Hawks, owls",Bird,,,,8.9-10.6 inches,13-18 days,,,,,,Trees,,,,,,,
574,Eurasian Wolf,"Moose, deer, wild boar, reindeer, argali, mouflon, wisent, saiga, ibex, chamois, wild goats, etc.",pups,Pack,Coloring depends on location.,"150,000","Deforestation, humans.",Tawny coat,"Common wolf, European wolf, Carpathian wolf, steppes wolf, Tibetan wolf, Chinese wolf",7 weeks,"Tundra, plains, scrublands, mountains.",Carnivore,,,Eurasian Wolf,1,"Western Europe, Scandinavia, Russia, China, Mongolia, Himalayan mountains.",,Pack,6 pups,none,mammal,,,,,,,,,,,,,,,,,,
575,European Bee-Eater,"insects, bees, hornets",,,They can eat up to 250 bees per day!,78 million birds,Parasites,Bright rainbow coloring,,,"grassland, savannahs",Omnivore,,,"Bee Eater, Bee-Eater",,"Europe, Africa & Asia",,,,"owls , snakes , other raptors and reptiles",Bird,,,,17 - 20 inches,3 - 4 weeks,,,,,,Burrows,8 months,"insects, primarily bees, wasps and hornets",,,1,,
576,European Corn Borer,Crop plants,caterpillar,Solitary,Female can lay up to 600 eggs in her 14-day lifespan,,Humans,Irregular patterns on wings,,3-7 days,0.75-1 in,Herbivore,,Nocturnal,European Corn Borer,,,,,20-50,,insect,,,,2.2-3.2 in,,,,,,,,,corn crop,,,,,
577,European Polecat,"Rodents, rabbits, lizards",kit,Solitary,Its fur changes color in the winter!,,predators,Mask-like face markings,"Black polecat, western polecat, fitch",42 days,"Wetlands, marshes, coastal cliffs",Carnivore,,,European polecat,1,"Europe, North Africa, Asia",,solitary,three to seven,,Mustelid,,,,,,,,,,,,,,,,,,
578,European Robin,"Insects, spiders and worms",,,Male robins are so aggressive and territorial that they will attack their own reflections.,,Hunting on the continent,Its red/orange breast,"Robin, redbreast, English robin, ruddock, robinet, chat",,"Gardens, farms, woods, heathland",Omnivore,,,European Robin,,"Europe, western Russia, northern Africa, Middle East",,,Five to six chicks,"Humans, cats, dogs, birds of prey, snakes, rodents",Bird,,,,7.9 to 8.7 inches,13 days,,,,,,"Anywhere that provides shelter, including nest boxes, flower pots, crevices and unused machinery",14 days,,,,1,,
579,European Wildcat,"Rodents, rabbits, hares, small mammals",kitten,Territorial,A group of wild cats is called a destruction,"500,000",Shooting by humans,Fluffy tail/looks like a feral cat,,68 days,Mainly forests,Omnivore,,,European wildcat,4,Europe,,solitary,three to six kittens,,,,,,,,,,,,,,,,,,,,
580,Evening Bat,Insects,Pup,Social,The evening bat is one of the few bats that regularly has twins,"More than 100,000. Conservation status is least concern.",None,That it’s a flying mammal,,30 to 36 days,"Forests, wetlands, open areas",Carnivore,,,Evening bat,1,United States,,Colony,Two,"Birds of prey, snakes, raccoons",Mammal,,,,,,,,,,,,,,,,,,
581,Eyelash Viper,"Small birds, lizards, frogs, small rodents.",,,,,,,,,,Omnivore,,,"Eyelash viper, eyelash pit viper, eyelash palm viper, eyelash snake, eyelash lancehead, eyelash mountain viper, horned palm viper.",,,,,2-20,,,,,,,,,,,,,,,,,,,,
582,Falcon,,,,"The falcon is faster than any other animal on earth, both on land and in the air",,,,,,High areas like mountains and cliffs,Carnivore,,Solitary,,,,The fastest creatures on the planet!,,,"Human, Eagles, Owls, Wolves",Bird,"Sharp, pointed beak and aerodynamic body shape",,,74 to 120 cm,Approximately one month,,3,"Birds, Rabbits, Bats",,,"Tree holes, cliffs, and ledges",Varies with each species,Birds,,,1,,
583,Fallow deer,,Fawn,Solitary/Herd,The fallow deer has more variation in its coat colors than most other deer.,"Over 100,000",Humans,An adult deer with a common coat hangs on to the white spots it had as a fawn.,"Shovel deer, Yachmur",231 to 245 days,"Forests, grasslands, low mountains",Herbivore,,,,,,,,1,"Humans, bears, cougars, wolves",Mammal,,,,,,,,,,,,,Vegetation,,,,,
584,False Cobra,,,,"When it feels threatened, it mimics a cobra in an attempt to dissuade a potential attacker.",The population is stable,,It mimics a cobra when it's alarmed,The hooded malpolon or the Egyptian false cobra,60 days,Deserts and semi-deserts,Carnivore,,,False cobra,1,,,,,The great gray shrike,,It has an unusually long tail,,,,,,,,,,,,"Small mammals such as mice and gerbils, lizards, insects such as cockroaches and baby birds",,,,,
585,False coral snake,"Frogs, small snakes, lizards",,,The false coral snake mimics both the coral snake and the cobra to scare away predators,,,,,,,Carnivore,,,"False coral snake, American pipe snake",,,,,4-18 eggs,,,,,,,,,,,,,,,,,,,,
586,False Killer Whale,"Fish, squid, and marine mammals",,Pod,The false killer whale looks like a cross between a dolphin and orca!,Unknown,Competition with humans for food,The versatile vocalizations,Blackfish or false pilot whale,Up to 16 months,Coastal and deep ocean regions,Carnivore,1,,False killer whale,,,,,,Sharks and killer whales,Mammal,,,,,,,,,,,,,,,,,,
587,False Water Cobra,"Fish, aquatic amphibians, reptiles, mammals, birds",Snakelets or hatchlings,,"There are several color morphs, including lavender!",,,It raises its hood like a true cobra does,"False water cobra, Brazilian smooth snake",,,,,Diurnal,"False water cobra, Brazilian smooth snake",1,,,,,,,Its colors and pattern are similar to the true water cobra,,,,,,,,,,,,,,,,,
588,False Widow Spider,Other spiders and various insects,,Solitary,False spiders actually prey on black widow spiders and other hazardous spiders,,,,,,"While they prefer living indoors, these insects can be found in many outdoor ecosystems",Carnivore,,,,,All over the globe,,,Egg sacs can consist of up to 200 eggs,,,,,,,,,,,,,,,,,,,,
589,Fangtooth,"Scallops, coral",,Solitary/Group,Has the largest teeth compared to body size of any known fish,Unknown,"Tuna, marlin, small sharks",Protruding jaw and fangs,Common fangtooth,Unknown,Deep ocean,Carnivore,,,,,,,,,,Beryciform,,,,,,,,,,,,,,,,,,
590,Feist,,,,The word feisty derived from this type of dog.,,,,,,,Omnivore,,,,,,,,,,,,"Fearless, spirited, and friendly",,,,,,,,,,,,,,,,
591,Fennec Fox,"Berries, Fruit, Rodents, Reptiles",Kit,Sociable,Can get all their water from their food!,Unknown,Habitat loss and hunting,"Large, over-sized ears",,52 days,Sandy and semi-arid desert,Omnivore,3,Nocturnal,Fennec Fox,1,North Africa,Found in the African Sahara Desert!,Mammal,,,,,,,,,,,,,,,,,,,,,
592,Fer-de-lance Snake,"Centipedes, beetles, grasshoppers, crayfish, eels, common possum, Brazilian cottontail",,Solitary,The Most Dangerous Snake in the Americas,,,,,,,Carnivore,5 to 86,Nocturnal,Fer-de-Lance,,,,,,Goliath birdeater spiders,,"Dark splotches on brown, olive, gray, rust, green or gray ground",,,,,,,,,,,,,,,,,
593,Ferret,,,,Ferrets can be trained to do tricks like dogs.,,,,,,Forest and grasslands,Carnivore,4,Solitary,,,,Ferrets can be trained to do tricks like dogs!,,,,Mammal,Long thin body and large eyes,,,,,,,"Mice, Rabbit, Gophers",,,,,Mice,,,,,
594,Ferruginous Hawk,"Rodents, rabbits, hares, gophers, reptiles, amphibians, small birds, and insects",,,The ferruginous hawk comes in both light and dark morphs,Tens of thousands,Loss of nesting sites,Rust-colored plumage,Ferruginous rough-leg hawk,,Open dry plains,Carnivore,,,Ferruginous hawk,1,North America,,,,"Golden eagles, bobcats, and coyotes",Bird,,,,4-5ft,A month,,,,,,"Cliffs, trees, and other high structures",5-6 weeks,,,,1,,
595,Fiddler Crab,"Dead, decaying plants and animals, bacteria, algae, and fungus",,Colony,The fiddler crab gets its name from the motion the males make with their over-sized claw during the mating ritual.,,Habitat loss,Enlarged claw on the male,,2 weeks,Sandy beaches and salt or brackish water,Omnivore,,,"Fiddler crab, Calling crab",106,,,,,"Egrets, herons, raccoons",Crustacean,,,,,,,,,,,,,,,7.2 to 8.2,,,
596,Field Spaniel,,,,"While originally bred for hunting, Field Spaniels are more commonly used as a family dog or a show dog.",,,,,,,Omnivore,,,Field Spaniel,,,A sociable and adaptable breed!,Gun Dog,,,,,,,,,,,,,,,,,,,,,
597,Fierce Snake,Rats and other small mammals,,,It can kill multiple humans with the amount of venom it releases in one bite.,,,,,,,Carnivore,12-24,,Inland taipan,,,,,,King brown snake,,,,,,,,,,,,,,,,,,,
598,Fila Brasileiro,,Puppy,,"The breed has a unique, cat-like gait, while females have a finer gait than males.",,,,Brazilian Mastiff and Brazilian Molosser,,,Omnivore,,,Fila Brasileiro,,,,,2-5 puppies,,Mammal,,Intense and loyal,,,,,,,,,,,,Brazil,,,,
599,Fin Whale,,,,,,,,,,Deep offshore waters,Carnivore,1,Herd,,,,Found throughout ocean waters worldwide!,,,"Human, Large Sharks",Mammal,Pointed snout and two blowholes on top of head,,,,,,,"Krill, Fish, Squid",,,,,Krill,,,,,
600,Finnish Spitz,,,,Likes to bark a lot!,,,,,,,Omnivore,,,Finnish Spitz,,,Likes to bark a lot!,North,,,,,,,,,,,,,,,,,,,,,
601,Fire Eel,"bloodworms, shrimp, invertebrates, small fish",,,Fire Eels are not true eels.,,Overfishing,Bright red stripes and snake-like appearance.,,A few days,"rivers, lakes",Omnivore,,,Fire Eel,,,,,,,Fish,,,,,,,,,,,,,,,6.8 - 7.6,,,
602,Fire salamander,,"Salamander nymphs, metamorphs",Solitary,Its name comes from the fact that people once believed it was born in fire,Unknown,Bsal fungus,Striking colors,,60-150 days (2-5 months),Forests,Carnivore,,,Fire salamander,13,Central and Southern Europe,,,20-75,Grass snakes,Amphibian,,,,,,,,,,,,,,,,,,
603,Fire-Bellied Toad,,,,,,,,,,"Forests, jungle and marshes",Carnivore,,Solitary,,,,Found across mainland Europe and Asia!,,,"Foxes, Snakes, Birds",Amphibian,Brightly coloured belly and long toes,,,,,,200,"Insects, Worms, Spiders",,,,,Insects,,,,,
604,Firefly," Insects, snails, worms, nectar, and pollen",Larvae,Solitary, The firefly produces some of the most efficient light in the world,,Habitat loss and light pollution,The glowing abdomen,Lightning bug or glowworm,3-4 weeks,"Forests, fields, meadows, and other habitats",Omnivore,,,firefly,2003,,,,up to 100 eggs,"Birds, mammals, insects, and more",insect,,,,,,,,,,,,,,,,,,
